"nofish","livebait","camper","persons","child","xb","zg","count"
1,0,0,1,0,-0.8963145613670349,3.0504047870635986,0
0,1,1,1,0,-0.5583449602127075,1.746148943901062,0
0,1,0,1,0,-0.401731014251709,0.27993887662887573,0
0,1,1,2,1,-0.9562981128692627,-0.6015256643295288,0
0,1,0,1,0,0.43689095973968506,0.5277091264724731,1
0,1,1,4,2,1.3944854736328125,-0.7075347900390625,0
0,1,0,3,1,0.18471674621105194,-3.398022174835205,0
0,1,0,4,3,2.329106569290161,-5.450901508331299,0
1,0,1,3,2,0.1883864849805832,-1.527417778968811,0
0,1,1,1,0,0.2876899242401123,1.3938905000686646,1
0,1,0,4,1,1.990952730178833,-1.9331899881362915,0
0,1,1,3,2,1.317893147468567,-2.471574544906616,0
1,0,0,3,0,0.2980416715145111,1.5912652015686035,1
0,1,0,3,0,1.290873408317566,0.8295348882675171,2
0,1,1,1,0,-0.0608898401260376,2.8205792903900146,0
1,1,1,1,0,0.37004920840263367,2.1583449840545654,1
0,1,0,4,1,1.9790934324264526,-3.0699527263641357,0
1,1,1,3,2,0.7153370976448059,-1.9528049230575562,0
0,1,1,2,1,1.5160530805587769,-0.18656735122203827,1
0,1,0,3,1,-0.034895967692136765,-0.11892249435186386,0
0,1,0,4,1,1.1782302856445312,0.0018565660575404763,1
0,1,1,4,0,1.6421117782592773,1.8928213119506836,5
0,1,1,2,1,0.597727358341217,-0.2942781448364258,0
0,1,1,2,0,1.1397230625152588,1.931791067123413,3
0,1,1,3,0,3.5002975463867188,1.4512708187103271,30
0,1,1,2,0,-0.7899783849716187,2.817448616027832,0
0,1,1,4,0,2.66235613822937,1.6565625667572021,13
0,1,0,2,1,1.6061724424362183,-1.064542531967163,0
0,1,0,1,0,0.01855017989873886,0.08079826831817627,0
0,1,0,4,3,3.0345590114593506,-4.824044704437256,0
0,1,0,1,0,0.05100075528025627,0.9218238592147827,0
0,1,1,3,1,0.7452588081359863,-0.6638671159744263,0
0,1,1,4,0,2.453136682510376,3.5083677768707275,11
0,1,1,4,1,2.3527066707611084,0.17660972476005554,5
0,1,1,1,0,-1.108257532119751,0.7720884084701538,0
1,0,0,2,0,0.5154194235801697,1.6566575765609741,1
1,1,1,2,1,1.9827685356140137,-0.64223712682724,1
1,1,1,4,1,2.0668559074401855,1.2445074319839478,7
1,1,1,3,1,0.09501177072525024,-2.2686607837677,0
0,1,1,4,1,5.3526740074157715,-1.4729925394058228,14
0,1,1,1,0,-0.7118139266967773,3.0204780101776123,0
0,1,1,4,0,3.484046220779419,2.3556528091430664,32
1,0,0,3,2,2.4009063243865967,-3.0864737033843994,0
1,0,1,4,0,0.37602847814559937,2.6760778427124023,1
1,1,0,4,2,1.0850564241409302,-2.6547904014587402,0
0,1,1,1,0,-1.0671987533569336,2.133044958114624,0
0,1,1,2,1,0.3229970633983612,0.3034364879131317,0
0,1,0,1,0,0.5010663270950317,1.55316162109375,1
0,1,1,2,1,2.011488437652588,0.627036452293396,5
0,1,0,2,1,0.9571473598480225,-2.0581746101379395,0
0,1,1,2,1,1.114434003829956,0.28473207354545593,1
0,1,1,2,1,-0.6738300323486328,-0.7081019878387451,0
0,1,1,4,0,3.1967058181762695,1.5154833793640137,22
1,0,0,2,0,-0.3863207995891571,2.079587936401367,0
0,1,1,3,0,2.7185115814208984,2.6293129920959473,15
1,0,1,1,0,-1.269290566444397,4.179599761962891,0
0,1,1,1,0,-1.087805986404419,2.122612953186035,0
0,1,1,1,0,-0.9845783114433289,1.3515208959579468,0
1,1,1,4,1,1.8724677562713623,1.2611768245697021,5
1,1,1,1,0,1.5479555130004883,1.6289883852005005,4
0,1,0,2,0,1.0040942430496216,1.0836246013641357,2
0,1,1,2,1,-0.16520261764526367,2.095250368118286,0
0,1,0,2,1,1.4716452360153198,-0.07347089797258377,2
0,1,1,4,0,3.4893360137939453,2.54799747467041,32
0,1,0,4,3,1.8857758045196533,-4.232519626617432,0
0,1,1,1,0,-2.2725300788879395,1.6007531881332397,0
0,1,0,1,0,0.6138409972190857,1.1117559671401978,1
1,1,0,3,2,2.878997564315796,-2.7660670280456543,0
1,1,1,1,0,-0.9448488354682922,2.0116078853607178,0
0,1,1,2,1,0.8200352191925049,-1.2854379415512085,0
0,1,1,3,0,2.088183641433716,2.2687482833862305,7
0,1,0,4,3,2.165306329727173,-5.035178184509277,0
1,0,0,4,2,0.5575263500213623,-2.6966516971588135,0
0,1,1,3,2,-0.6276955008506775,-3.224311590194702,0
1,0,1,1,0,-3.275050163269043,0.9133918285369873,0
0,1,0,2,0,0.3073975741863251,-0.4314827620983124,0
0,1,0,3,2,0.45930373668670654,-3.140106678009033,0
1,1,1,1,0,-0.18809916079044342,3.2674453258514404,0
0,1,0,2,1,-0.19742321968078613,-0.23833191394805908,0
0,1,0,4,0,0.9011332392692566,1.393922209739685,2
0,1,1,4,1,2.2297375202178955,-0.4101121127605438,3
1,1,0,2,1,1.1500788927078247,-0.3204764425754547,1
0,1,1,3,0,1.7165309190750122,2.654059886932373,5
0,1,0,1,0,-0.4657383859157562,0.24608252942562103,0
0,1,1,1,0,1.0195733308792114,1.7188441753387451,2
1,0,0,3,1,1.8674137592315674,-0.5484791398048401,1
1,0,0,4,1,0.7143785357475281,-2.5506811141967773,0
1,1,1,1,0,0.04400812089443207,2.2629549503326416,1
0,1,1,4,0,5.005039691925049,3.572134256362915,149
0,1,1,3,2,2.4615564346313477,-2.7698724269866943,0
0,1,1,3,1,1.570416808128357,-0.3906162679195404,1
0,1,0,2,0,-1.4908524751663208,0.08899945765733719,0
0,1,1,3,0,-0.8651333451271057,0.9720797538757324,0
0,1,0,2,1,0.8338031768798828,0.023357685655355453,1
0,1,0,4,2,2.2084999084472656,-1.7343733310699463,0
0,1,1,3,1,1.63320791721344,-1.5012526512145996,0
0,1,0,4,2,1.5240097045898438,-4.32427978515625,0
1,0,0,4,0,2.4913747310638428,-0.7220575213432312,2
0,1,1,2,0,1.0847690105438232,2.9630026817321777,2
0,1,0,4,0,3.594677209854126,0.8602088689804077,29
0,1,1,1,0,1.12883460521698,2.0607004165649414,3
1,0,1,2,0,-0.38593992590904236,2.2662763595581055,0
0,1,0,4,2,2.2135095596313477,-2.0680947303771973,0
1,0,0,3,0,2.518778085708618,-0.11092140525579453,5
0,1,1,2,0,0.01158948428928852,-0.33921802043914795,0
0,1,0,4,1,3.2988061904907227,-2.6714301109313965,0
0,1,1,1,0,-0.2583029568195343,0.714798092842102,0
0,1,0,3,1,0.9311610460281372,-1.9252318143844604,0
0,1,1,4,1,3.2343406677246094,-1.934120535850525,0
0,1,1,4,1,0.5665621161460876,1.3611514568328857,1
0,1,1,1,0,1.974095106124878,3.178084135055542,7
0,1,1,2,0,0.10992277413606644,2.1244986057281494,1
0,1,0,1,0,-1.0521960258483887,-1.8377094268798828,0
1,0,0,4,1,1.1932103633880615,0.7328076362609863,2
0,1,0,3,2,0.3515802323818207,-2.1842682361602783,0
1,1,0,2,0,1.1800631284713745,1.2939589023590088,2
0,1,0,2,1,0.44235125184059143,-0.2527506947517395,0
0,1,0,4,1,0.33950772881507874,-0.7681897282600403,0
1,0,1,3,1,0.3680575489997864,-0.8483712077140808,0
1,1,1,3,2,2.4312150478363037,-0.9453376531600952,1
0,1,0,2,1,-0.2673998773097992,-1.6204291582107544,0
1,1,0,1,0,-0.366596519947052,2.5145416259765625,0
1,0,1,4,3,1.4816583395004272,-2.820960760116577,0
0,1,0,1,0,-0.620765745639801,0.5831140875816345,0
1,0,1,4,3,1.5936685800552368,-2.947399616241455,0
0,1,0,4,1,2.824294328689575,-0.7420329451560974,3
0,1,1,1,0,1.4875385761260986,2.265225410461426,4
0,1,1,3,0,1.1390730142593384,3.4486987590789795,3
0,1,0,2,0,1.4158217906951904,1.297202467918396,3
0,1,1,4,0,2.1720778942108154,4.263185024261475,8
1,0,1,3,0,0.8180824518203735,3.0585968494415283,2
1,1,1,1,0,0.33259066939353943,2.0458590984344482,1
0,1,0,4,0,1.8568427562713623,2.5167958736419678,6
1,1,1,4,2,0.5936886668205261,-1.977207899093628,0
0,1,1,2,1,0.061764005571603775,1.2698074579238892,0
1,1,0,4,0,1.984782338142395,0.8246141672134399,5
0,1,1,4,1,1.9638563394546509,0.03152037039399147,3
0,1,0,3,1,3.7260725498199463,0.7016750574111938,31
0,1,1,2,1,0.34932491183280945,-0.16147944331169128,0
0,1,0,2,0,0.7040555477142334,2.344917058944702,2
1,1,1,4,3,1.5692437887191772,-4.469278812408447,0
0,1,1,2,1,0.7810648679733276,-1.89013671875,0
1,0,0,3,0,0.13955503702163696,0.3391566872596741,0
0,1,1,3,1,1.5416204929351807,-1.5310702323913574,0
1,1,0,1,0,0.07187355309724808,1.3057957887649536,0
0,1,0,2,0,0.7465148568153381,-0.6505948305130005,0
1,1,1,4,0,1.9250824451446533,3.567077875137329,6
0,1,0,3,0,2.21421217918396,2.6915719509124756,9
1,0,1,3,2,-0.5997015237808228,-2.0597519874572754,0
1,0,1,2,1,-2.1073310375213623,0.14134617149829865,0
0,1,1,1,0,-2.490455389022827,2.0737595558166504,0
0,1,1,2,1,-0.07047626376152039,-0.47849035263061523,0
0,1,0,1,0,-0.23350374400615692,0.15250636637210846,0
0,1,0,2,0,2.1488587856292725,-0.48857441544532776,2
0,1,0,3,0,3.1737546920776367,0.3783903419971466,15
0,1,1,1,0,0.6767058372497559,1.6237850189208984,1
1,1,1,2,0,0.9033687114715576,2.0153822898864746,2
0,1,1,3,1,2.121471881866455,-0.0916062667965889,3
1,1,1,1,0,-1.6806565523147583,2.2772350311279297,0
0,1,1,4,0,4.268487930297852,1.3622959852218628,65
0,1,1,3,0,1.7596712112426758,1.4781696796417236,5
0,1,0,1,0,0.007159876171499491,0.18456409871578217,0
1,1,1,3,2,3.533810615539551,-3.252695322036743,0
0,1,0,4,1,1.9028284549713135,-1.5904018878936768,0
0,1,0,4,2,2.054314374923706,-3.1391892433166504,0
1,1,0,1,0,0.1320486068725586,2.2440671920776367,1
0,1,1,4,1,2.8445887565612793,-0.0782078355550766,8
0,1,1,3,0,-0.15022751688957214,2.4962151050567627,0
0,1,1,3,2,0.3775939643383026,-2.294372320175171,0
0,1,1,4,3,1.4610018730163574,-3.9433720111846924,0
0,1,1,3,0,0.9519529342651367,2.606308937072754,2
0,1,1,2,1,1.5310728549957275,1.5372602939605713,4
1,1,0,4,0,1.716095209121704,1.8269017934799194,5
0,1,0,2,0,2.242041826248169,2.3986170291900635,9
0,1,0,4,2,3.389037609100342,-2.8933026790618896,0
0,1,0,2,0,-0.45746466517448425,3.179333209991455,0
0,1,1,2,0,-0.2636694610118866,1.7608680725097656,0
0,1,0,1,0,-0.7124375700950623,1.1771656274795532,0
1,1,1,2,0,3.0539169311523438,2.4691078662872314,21
0,1,0,1,0,-2.7082767486572266,0.3473309874534607,0
0,1,1,3,0,1.872051477432251,2.307969570159912,6
0,1,0,2,1,0.16974900662899017,-0.8351220488548279,0
1,0,1,2,0,-0.3488560914993286,2.941457509994507,0
0,1,1,2,1,0.24021922051906586,-0.4031737744808197,0
1,1,0,3,1,2.403877019882202,-1.5685287714004517,0
0,1,1,4,1,2.988574504852295,0.950103223323822,16
1,0,0,3,2,0.005257762037217617,-3.463099956512451,0
0,1,1,3,2,0.400785356760025,-1.7190524339675903,0
1,1,1,4,0,1.5923120975494385,3.472146987915039,4
0,1,1,2,1,1.022531270980835,0.5986690521240234,2
0,1,1,3,0,2.3773417472839355,2.5786168575286865,10
1,0,1,1,0,-2.112927198410034,1.6301124095916748,0
0,1,1,1,0,-0.5575071573257446,1.9381258487701416,0
1,0,0,1,0,-1.2762210369110107,0.1458602249622345,0
1,0,1,2,0,1.0607860088348389,2.973175525665283,2
1,1,1,2,0,0.4099714457988739,1.2875434160232544,1
0,1,0,1,0,1.4727476835250854,1.0017284154891968,3
0,1,1,3,1,1.122244954109192,-1.014991044998169,0
0,1,1,4,2,2.2423763275146484,-2.386286735534668,0
0,1,1,2,0,3.1638433933258057,1.296834945678711,21
0,1,0,2,1,-0.5853067636489868,-2.0787627696990967,0
0,1,0,2,0,-0.015607118606567383,2.2990167140960693,0
1,0,1,1,0,0.8344883322715759,2.2055110931396484,2
1,0,1,2,1,-1.268876075744629,1.5709195137023926,0
0,1,1,4,1,2.757081985473633,-0.8666195273399353,3
0,1,1,3,1,1.703949213027954,-1.1545815467834473,0
0,1,1,4,0,3.765002489089966,1.189270257949829,38
1,1,1,4,3,2.7190511226654053,-4.614192962646484,0
0,1,1,1,0,-0.15402184426784515,2.465320110321045,0
0,1,0,1,0,-0.4115256369113922,0.2571351230144501,0
0,1,1,1,0,0.5311220288276672,2.9289655685424805,1
0,1,0,1,0,1.3403061628341675,3.5663721561431885,3
0,1,1,1,0,-1.5620501041412354,1.4067739248275757,0
0,1,0,2,0,0.2253839522600174,2.2209911346435547,1
1,1,0,4,2,4.502663612365723,-4.7300848960876465,0
1,0,0,2,1,0.16219976544380188,-1.125854253768921,0
0,1,0,4,2,3.047013521194458,-3.184262990951538,0
0,1,0,3,1,1.6307533979415894,-2.707653284072876,0
0,1,1,4,2,1.9832550287246704,0.573806643486023,5
0,1,0,4,2,3.8771114349365234,-2.179812431335449,0
1,0,0,4,1,1.584755539894104,-1.289599061012268,0
0,1,0,3,0,1.7011432647705078,0.005117925349622965,2
1,1,1,2,1,-0.17060498893260956,1.4698635339736938,0
0,1,1,1,0,-0.4969801902770996,0.9579061269760132,0
0,1,0,2,1,1.218269944190979,-0.66424161195755,0
0,1,1,2,0,0.0375366136431694,2.8617730140686035,1
1,1,1,3,1,1.5232441425323486,3.0395727157592773,4
1,1,0,1,0,-0.9076981544494629,0.6114888191223145,0
0,1,1,3,2,2.331376552581787,-2.3555257320404053,0
0,1,1,2,1,1.06808602809906,1.3750563859939575,2
0,1,1,1,0,1.4012657403945923,2.14104962348938,3
1,1,0,4,2,3.930421829223633,-2.743903160095215,0
0,1,0,3,1,0.19624698162078857,-1.7810739278793335,0
0,1,0,2,0,0.02952738106250763,1.0022042989730835,0
1,0,0,2,0,-0.766901433467865,-0.44208770990371704,0
0,1,1,1,0,0.6611886620521545,3.241333484649658,1
0,1,1,2,0,1.0150740146636963,0.9489593505859375,2
0,1,1,1,0,-1.0466680526733398,0.7609766125679016,0
0,1,1,3,0,1.9380548000335693,2.159034252166748,6
0,1,1,2,0,1.7247505187988281,0.9278468489646912,4
0,1,1,2,0,0.6026552319526672,3.5716090202331543,1
0,1,1,4,2,2.4137816429138184,-1.316399097442627,1
1,0,0,2,0,-1.2007685899734497,1.0577998161315918,0
0,1,1,3,1,1.9638493061065674,-0.7330012321472168,1
0,1,0,3,0,-0.29106569290161133,1.315508246421814,0
1,1,1,2,0,-0.7552357316017151,2.3242087364196777,0
0,1,1,4,3,1.7948591709136963,-5.625943660736084,0
0,1,1,2,1,-0.392648845911026,0.6772754192352295,0
1,1,1,3,2,1.3746405839920044,-2.595630168914795,0
1,1,1,2,1,0.8288341164588928,-1.4571154117584229,0
