CCS,cement,water
79.99,540.0,162.0
61.89,540.0,162.0
40.27,332.5,228.0
41.05,332.5,228.0
44.30,198.6,192.0
47.03,266.0,228.0
43.70,380.0,228.0
36.45,380.0,228.0
45.85,266.0,228.0
39.29,475.0,228.0
38.07,198.6,192.0
28.02,198.6,192.0
43.01,427.5,228.0
42.33,190.0,228.0
47.81,304.0,228.0
52.91,380.0,228.0
39.36,139.6,192.0
56.14,342.0,228.0
40.56,380.0,228.0
42.62,475.0,228.0
41.84,427.5,228.0
28.24,139.6,192.0
8.06,139.6,192.0
44.21,139.6,192.0
52.52,380.0,228.0
53.30,380.0,228.0
41.15,380.0,228.0
52.12,342.0,228.0
37.43,427.5,228.0
38.60,475.0,228.0
55.26,304.0,228.0
52.91,266.0,228.0
41.72,198.6,192.0
42.13,475.0,228.0
53.69,190.0,228.0
38.41,237.5,228.0
30.08,237.5,228.0
37.72,332.5,228.0
42.23,475.0,228.0
36.25,237.5,228.0
50.46,342.0,228.0
43.70,427.5,228.0
39.00,237.5,228.0
53.10,380.0,228.0
41.54,427.5,228.0
35.08,427.5,228.0
15.05,349.0,192.0
40.76,380.0,228.0
26.26,237.5,228.0
32.82,380.0,228.0
39.78,332.5,228.0
46.93,190.0,228.0
33.12,237.5,228.0
49.19,304.0,228.0
14.59,139.6,192.0
14.64,198.6,192.0
41.93,475.0,228.0
9.13,198.6,192.0
50.95,304.0,228.0
33.02,332.5,228.0
54.38,304.0,228.0
51.73,266.0,228.0
9.87,310.0,192.0
50.66,190.0,228.0
48.70,266.0,228.0
55.06,342.0,228.0
44.70,139.6,192.0
30.28,332.5,228.0
40.86,190.0,228.0
71.99,485.0,146.0
34.40,374.0,170.1
28.80,313.3,175.5
33.40,425.0,153.5
36.30,425.0,151.4
29.00,375.0,126.6
37.80,475.0,181.1
40.20,469.0,137.8
33.40,425.0,153.5
28.10,388.6,157.9
41.30,531.3,141.8
33.40,425.0,153.5
25.20,318.8,155.7
41.10,401.8,147.4
35.30,362.6,164.9
28.30,323.7,183.8
28.60,379.5,153.9
35.30,362.6,164.9
24.40,286.3,144.7
35.30,362.6,164.9
39.30,439.0,186.0
40.60,389.9,145.9
35.30,362.6,164.9
24.10,337.9,174.9
46.20,374.0,170.1
42.80,313.3,175.5
49.20,425.0,153.5
46.80,425.0,151.4
45.70,375.0,126.6
55.60,475.0,181.1
54.90,469.0,137.8
49.20,425.0,153.5
34.90,388.6,157.9
46.90,531.3,141.8
49.20,425.0,153.5
33.40,318.8,155.7
54.10,401.8,147.4
55.90,362.6,164.9
49.80,323.7,183.8
47.10,379.5,153.9
55.90,362.6,164.9
38.00,286.3,144.7
55.90,362.6,164.9
56.10,439.0,186.0
59.09,389.9,145.9
22.90,362.6,164.9
35.10,337.9,174.9
61.09,374.0,170.1
59.80,313.3,175.5
60.29,425.0,153.5
61.80,425.0,151.4
56.70,375.0,126.6
68.30,475.0,181.1
66.90,469.0,137.8
60.29,425.0,153.5
50.70,388.6,157.9
56.40,531.3,141.8
60.29,425.0,153.5
55.50,318.8,155.7
68.50,401.8,147.4
71.30,362.6,164.9
74.70,323.7,183.8
52.20,379.5,153.9
71.30,362.6,164.9
67.70,286.3,144.7
71.30,362.6,164.9
66.00,439.0,186.0
74.50,389.9,145.9
71.30,362.6,164.9
49.90,337.9,174.9
63.40,374.0,170.1
64.90,313.3,175.5
64.30,425.0,153.5
64.90,425.0,151.4
60.20,375.0,126.6
72.30,475.0,181.1
69.30,469.0,137.8
64.30,425.0,153.5
55.20,388.6,157.9
58.80,531.3,141.8
64.30,425.0,153.5
66.10,318.8,155.7
73.70,401.8,147.4
77.30,362.6,164.9
80.20,323.7,183.8
54.90,379.5,153.9
77.30,362.6,164.9
72.99,286.3,144.7
77.30,362.6,164.9
71.70,439.0,186.0
79.40,389.9,145.9
77.30,362.6,164.9
59.89,337.9,174.9
64.90,374.0,170.1
66.60,313.3,175.5
65.20,425.0,153.5
66.70,425.0,151.4
62.50,375.0,126.6
74.19,475.0,181.1
70.70,469.0,137.8
65.20,425.0,153.5
57.60,388.6,157.9
59.20,531.3,141.8
65.20,425.0,153.5
68.10,318.8,155.7
75.50,401.8,147.4
79.30,362.6,164.9
56.50,379.5,153.9
79.30,362.6,164.9
76.80,286.3,144.7
79.30,362.6,164.9
73.30,439.0,186.0
82.60,389.9,145.9
79.30,362.6,164.9
67.80,337.9,174.9
11.58,222.4,189.3
24.45,222.4,189.3
24.89,222.4,189.3
29.45,222.4,189.3
40.71,222.4,189.3
10.38,233.8,197.9
22.14,233.8,197.9
22.84,233.8,197.9
27.66,233.8,197.9
34.56,233.8,197.9
12.45,194.7,165.6
24.99,194.7,165.6
25.72,194.7,165.6
33.96,194.7,165.6
37.34,194.7,165.6
15.04,190.7,162.1
21.06,190.7,162.1
26.40,190.7,162.1
35.34,190.7,162.1
40.57,190.7,162.1
12.47,212.1,180.3
20.92,212.1,180.3
24.90,212.1,180.3
34.20,212.1,180.3
39.61,212.1,180.3
10.03,230.0,195.5
20.08,230.0,195.5
24.48,230.0,195.5
31.54,230.0,195.5
35.34,230.0,195.5
9.45,190.3,161.9
22.72,190.3,161.9
28.47,190.3,161.9
38.56,190.3,161.9
40.39,190.3,161.9
10.76,166.1,176.5
25.48,166.1,176.5
21.54,166.1,176.5
28.63,166.1,176.5
33.54,166.1,176.5
7.75,168.0,121.8
17.82,168.0,121.8
24.24,168.0,121.8
32.85,168.0,121.8
39.23,168.0,121.8
18.00,213.7,181.7
30.39,213.7,181.7
45.71,213.7,181.7
50.77,213.7,181.7
53.90,213.7,181.7
13.18,213.8,181.7
17.84,213.8,181.7
40.23,213.8,181.7
47.13,213.8,181.7
49.97,213.8,181.7
13.36,229.7,195.2
22.32,229.7,195.2
24.54,229.7,195.2
31.35,229.7,195.2
40.86,229.7,195.2
19.93,238.1,186.7
25.69,238.1,186.7
30.23,238.1,186.7
39.59,238.1,186.7
44.30,238.1,186.7
13.82,250.0,187.4
24.92,250.0,187.4
29.22,250.0,187.4
38.33,250.0,187.4
42.35,250.0,187.4
13.54,212.5,159.3
26.31,212.5,159.3
31.64,212.5,159.3
42.55,212.5,159.3
42.92,212.5,159.3
13.33,212.6,159.4
25.37,212.6,159.4
37.40,212.6,159.4
44.40,212.6,159.4
47.74,212.6,159.4
19.52,212.0,159.0
31.35,212.0,159.0
38.50,212.0,159.0
45.08,212.0,159.0
47.82,212.0,159.0
15.44,231.8,174.0
26.77,231.8,174.0
33.73,231.8,174.0
42.70,231.8,174.0
45.84,231.8,174.0
17.22,251.4,188.5
29.93,251.4,188.5
29.65,251.4,188.5
36.97,251.4,188.5
43.58,251.4,188.5
13.12,251.4,188.5
24.43,251.4,188.5
32.66,251.4,188.5
36.64,251.4,188.5
44.21,251.4,188.5
13.62,181.4,169.6
21.60,181.4,169.6
27.77,181.4,169.6
35.57,181.4,169.6
45.37,181.4,169.6
7.32,182.0,170.2
21.50,182.0,170.2
31.27,182.0,170.2
43.50,182.0,170.2
48.67,182.0,170.2
7.40,168.9,158.3
23.51,168.9,158.3
31.12,168.9,158.3
39.15,168.9,158.3
48.15,168.9,158.3
22.50,290.4,168.1
34.67,290.4,168.1
34.74,290.4,168.1
45.08,290.4,168.1
48.97,290.4,168.1
23.14,277.1,160.6
41.89,277.1,160.6
48.28,277.1,160.6
51.04,277.1,160.6
55.64,277.1,160.6
22.95,295.7,171.5
35.23,295.7,171.5
39.94,295.7,171.5
48.72,295.7,171.5
52.04,295.7,171.5
21.02,251.8,146.1
33.36,251.8,146.1
33.94,251.8,146.1
44.14,251.8,146.1
45.37,251.8,146.1
15.36,249.1,158.1
28.68,249.1,158.1
30.85,249.1,158.1
42.03,249.1,158.1
51.06,249.1,158.1
21.78,252.3,146.3
42.29,252.3,146.3
50.60,252.3,146.3
55.83,252.3,146.3
60.95,252.3,146.3
23.52,246.8,143.3
42.22,246.8,143.3
52.50,246.8,143.3
60.32,246.8,143.3
66.42,246.8,143.3
23.80,275.1,159.5
38.77,275.1,159.5
51.33,275.1,159.5
56.85,275.1,159.5
58.61,275.1,159.5
21.91,297.2,174.8
36.99,297.2,174.8
47.40,297.2,174.8
51.96,297.2,174.8
56.74,297.2,174.8
17.57,213.7,154.8
33.73,213.7,154.8
40.15,213.7,154.8
46.64,213.7,154.8
50.08,213.7,154.8
17.37,213.5,154.6
33.70,213.5,154.6
45.94,213.5,154.6
51.43,213.5,154.6
59.30,213.5,154.6
30.45,277.2,160.7
47.71,277.2,160.7
63.14,277.2,160.7
66.82,277.2,160.7
66.95,277.2,160.7
27.42,218.2,140.8
35.96,218.2,140.8
55.51,218.2,140.8
61.99,218.2,140.8
63.53,218.2,140.8
18.02,214.9,155.6
38.60,214.9,155.6
52.20,214.9,155.6
53.96,214.9,155.6
56.63,214.9,155.6
15.34,218.9,158.5
26.05,218.9,158.5
30.22,218.9,158.5
37.27,218.9,158.5
46.23,218.9,158.5
16.28,376.0,214.6
25.62,376.0,214.6
31.97,376.0,214.6
36.30,376.0,214.6
43.06,376.0,214.6
67.57,500.0,140.0
57.23,475.0,142.0
81.75,315.0,145.0
64.02,505.0,195.0
78.80,451.0,165.0
41.37,516.0,162.0
60.28,520.0,170.0
56.83,528.0,185.0
51.02,520.0,175.0
55.55,385.0,158.0
44.13,500.1,200.0
39.38,450.1,200.0
55.65,397.0,167.0
47.28,333.0,167.0
44.33,334.0,189.0
52.30,405.0,175.0
49.25,200.0,190.0
41.37,516.0,162.0
29.16,145.0,184.0
39.40,160.0,182.0
39.30,234.0,189.0
67.87,250.0,159.0
58.52,475.0,162.0
53.58,285.0,163.0
59.00,356.0,160.0
76.24,275.0,162.0
69.84,500.0,151.0
14.40,165.0,163.8
19.42,165.0,175.1
20.73,178.0,179.9
14.94,167.4,175.5
21.29,172.4,156.8
23.08,173.5,164.8
15.52,167.0,164.0
15.82,173.8,172.3
12.55,190.3,166.6
8.49,250.0,191.8
15.61,213.5,159.2
12.18,194.7,170.2
11.98,251.4,192.9
16.88,165.0,163.8
33.09,165.0,175.1
34.24,178.0,179.9
31.81,167.4,175.5
29.75,172.4,156.8
33.01,173.5,164.8
32.90,167.0,164.0
29.55,173.8,172.3
19.42,190.3,166.6
24.66,250.0,191.8
29.59,213.5,159.2
24.28,194.7,170.2
20.73,251.4,192.9
26.20,165.0,163.8
46.39,165.0,175.1
39.16,178.0,179.9
41.20,167.4,175.5
33.69,172.4,156.8
38.20,173.5,164.8
41.41,167.0,164.0
37.81,173.8,172.3
24.85,190.3,166.6
27.22,250.0,191.8
44.64,213.5,159.2
37.27,194.7,170.2
33.27,251.4,192.9
36.56,165.0,163.8
53.72,165.0,175.1
48.59,178.0,179.9
51.72,167.4,175.5
35.85,172.4,156.8
53.77,173.5,164.8
53.46,167.0,164.0
48.99,173.8,172.3
31.72,190.3,166.6
39.64,250.0,191.8
51.26,213.5,159.2
43.39,194.7,170.2
39.27,251.4,192.9
37.96,165.0,163.8
55.02,165.0,175.1
49.99,178.0,179.9
53.66,167.4,175.5
37.68,172.4,156.8
56.06,173.5,164.8
56.81,167.0,164.0
50.94,173.8,172.3
33.56,190.3,166.6
41.16,250.0,191.8
52.96,213.5,159.2
44.28,194.7,170.2
40.15,251.4,192.9
57.03,446.0,162.0
44.42,446.0,162.0
51.02,446.0,162.0
53.39,446.0,162.0
35.36,446.0,162.0
25.02,446.0,162.0
23.35,446.0,162.0
52.01,446.0,162.0
38.02,446.0,162.0
39.30,446.0,162.0
61.07,446.0,162.0
56.14,446.0,162.0
55.25,446.0,162.0
54.77,446.0,162.0
50.24,387.0,157.0
46.68,387.0,157.0
46.68,387.0,157.0
22.75,387.0,157.0
25.51,387.0,157.0
34.77,387.0,157.0
36.84,387.0,157.0
45.90,387.0,157.0
41.67,387.0,157.0
56.34,387.0,157.0
47.97,387.0,157.0
61.46,387.0,157.0
44.03,355.0,145.0
55.45,355.0,145.0
55.55,491.0,210.0
57.92,491.0,201.0
25.61,491.0,210.0
33.49,491.0,210.0
59.59,491.0,210.0
29.55,491.0,201.0
37.92,491.0,201.0
61.86,491.0,201.0
62.05,424.0,178.0
32.01,424.0,178.0
72.10,424.0,168.0
39.00,424.0,178.0
65.70,424.0,178.0
32.11,424.0,168.0
40.29,424.0,168.0
74.36,424.0,168.0
21.97,202.0,206.0
9.85,202.0,206.0
15.07,202.0,206.0
23.25,202.0,206.0
43.73,284.0,179.0
13.40,284.0,179.0
24.13,284.0,179.0
44.52,284.0,179.0
62.94,359.0,154.0
59.49,359.0,154.0
25.12,359.0,154.0
23.64,359.0,154.0
35.75,359.0,154.0
38.61,359.0,154.0
68.75,359.0,154.0
66.78,359.0,154.0
23.85,436.0,218.0
32.07,289.0,192.0
11.65,289.0,192.0
19.20,393.0,192.0
48.85,393.0,192.0
39.60,393.0,192.0
43.94,480.0,192.0
34.57,480.0,192.0
54.32,480.0,192.0
24.40,480.0,192.0
15.62,333.0,192.0
21.86,255.0,192.0
10.22,255.0,192.0
14.60,289.0,192.0
18.75,255.0,192.0
31.97,333.0,192.0
23.40,333.0,192.0
25.57,289.0,192.0
41.68,333.0,192.0
27.74,393.0,192.0
8.20,255.0,192.0
9.62,158.8,185.7
25.42,239.6,185.7
15.69,238.2,185.7
27.94,181.9,185.7
32.63,193.5,185.7
17.24,255.5,185.7
19.77,272.8,185.7
39.44,239.6,185.7
25.75,220.8,185.7
33.08,397.0,185.7
24.07,382.5,185.7
21.82,210.7,185.7
21.07,158.8,185.7
14.84,295.8,185.7
32.05,255.5,185.7
11.96,203.5,185.7
25.45,397.0,185.7
22.49,381.4,185.7
25.22,295.8,185.7
39.70,228.0,185.7
13.09,220.8,185.7
38.70,316.1,185.7
7.51,135.7,185.7
17.58,238.1,185.7
21.18,339.2,185.7
18.20,135.7,185.7
17.20,193.5,185.7
22.63,203.5,185.7
21.86,290.2,185.7
12.37,181.9,185.7
25.73,170.3,185.7
37.81,210.7,185.7
21.92,228.0,185.7
33.04,290.2,185.7
14.54,381.4,185.7
26.91,238.2,185.7
8.00,186.2,185.7
31.90,339.2,185.7
10.34,238.1,185.7
19.77,252.5,185.7
37.44,382.5,185.7
11.48,252.5,185.7
24.44,316.1,185.7
17.60,186.2,185.7
10.73,170.3,185.7
31.38,272.8,185.7
13.22,339.0,197.0
20.97,339.0,197.0
27.04,339.0,197.0
32.04,339.0,197.0
35.17,339.0,197.0
36.45,339.0,197.0
38.89,339.0,197.0
6.47,236.0,194.0
12.84,236.0,194.0
18.42,236.0,194.0
21.95,236.0,194.0
24.10,236.0,193.0
25.08,236.0,193.0
21.26,277.0,191.0
25.97,277.0,191.0
11.36,277.0,191.0
31.25,277.0,191.0
32.33,277.0,191.0
33.70,277.0,191.0
9.31,254.0,198.0
26.94,254.0,198.0
27.63,254.0,198.0
29.79,254.0,198.0
34.49,307.0,193.0
36.15,307.0,193.0
12.54,307.0,193.0
27.53,307.0,193.0
32.92,307.0,193.0
9.99,236.0,193.0
7.84,200.0,180.0
12.25,200.0,180.0
11.17,225.0,181.0
17.34,225.0,181.0
17.54,325.0,184.0
30.57,325.0,184.0
14.20,275.0,183.0
24.50,275.0,183.0
15.58,300.0,184.0
26.85,300.0,184.0
26.06,375.0,186.0
38.21,375.0,186.0
43.70,400.0,187.0
30.14,400.0,187.0
12.73,250.0,182.0
20.87,250.0,182.0
20.28,350.0,186.0
34.29,350.0,186.0
19.54,203.5,203.5
47.71,250.2,203.5
43.38,157.0,192.0
29.89,141.3,203.5
6.90,166.8,203.5
33.19,122.6,203.5
4.90,183.9,203.5
4.57,102.0,192.0
25.46,102.0,192.0
24.29,122.6,203.5
33.95,166.8,203.5
11.41,200.0,192.0
20.59,108.3,203.5
25.89,305.3,203.5
29.23,108.3,203.5
31.02,116.0,192.0
10.39,141.3,203.5
33.66,157.0,192.0
27.87,133.0,192.0
19.35,250.2,203.5
11.39,173.0,192.0
12.79,192.0,192.0
39.32,192.0,192.0
4.78,153.0,192.0
16.11,288.0,192.0
43.38,305.3,203.5
20.42,236.0,192.0
6.94,173.0,192.0
15.03,212.0,203.5
13.57,236.0,192.0
32.53,183.9,203.5
15.75,166.8,203.5
7.68,102.0,192.0
38.80,288.0,192.0
33.00,212.0,203.5
17.28,102.0,192.0
24.28,173.0,192.0
24.05,183.9,203.5
36.59,133.0,192.0
50.73,192.0,192.0
13.66,133.0,192.0
14.14,305.3,203.5
47.78,236.0,192.0
2.33,108.3,203.5
16.89,157.0,192.0
23.52,288.0,192.0
6.81,212.0,203.5
39.70,212.0,203.5
17.96,153.0,192.0
32.88,236.0,192.0
22.35,116.0,192.0
10.79,183.9,203.5
7.72,108.3,203.5
41.68,203.5,203.5
9.56,203.5,203.5
6.88,133.0,192.0
50.53,288.0,192.0
17.17,200.0,192.0
30.44,200.0,192.0
9.73,250.2,203.5
3.32,122.6,203.5
26.32,153.0,192.0
43.25,200.0,192.0
6.28,116.0,192.0
32.10,173.0,192.0
36.96,250.2,203.5
54.60,305.3,203.5
21.48,192.0,192.0
9.69,157.0,192.0
8.37,153.0,192.0
39.66,141.3,203.5
10.09,116.0,192.0
4.83,141.3,203.5
10.35,122.6,203.5
43.57,166.8,203.5
51.86,203.5,203.5
11.85,310.0,192.0
17.24,310.0,192.0
27.83,310.0,192.0
35.76,310.0,192.0
38.70,310.0,192.0
14.31,331.0,192.0
17.44,331.0,192.0
31.74,331.0,192.0
37.91,331.0,192.0
39.38,331.0,192.0
15.87,349.0,192.0
9.01,349.0,192.0
33.61,349.0,192.0
40.66,349.0,192.0
40.86,349.0,192.0
12.05,238.0,186.0
17.54,238.0,186.0
18.91,296.0,186.0
25.18,296.0,186.0
30.96,297.0,186.0
43.89,480.0,192.0
54.28,480.0,192.0
36.94,397.0,186.0
14.50,281.0,186.0
22.44,281.0,185.0
12.64,500.0,200.0
26.06,500.0,200.0
33.21,500.0,200.0
36.94,500.0,200.0
44.09,500.0,200.0
52.61,540.0,173.0
59.76,540.0,173.0
67.31,540.0,173.0
69.66,540.0,173.0
71.62,540.0,173.0
74.17,540.0,173.0
18.13,350.0,203.0
22.53,350.0,203.0
27.34,350.0,203.0
29.98,350.0,203.0
31.35,350.0,203.0
32.72,350.0,203.0
6.27,385.0,186.0
14.70,385.0,186.0
23.22,385.0,186.0
27.92,385.0,186.0
31.35,385.0,186.0
39.00,331.0,192.0
41.24,331.0,192.0
14.99,349.0,192.0
13.52,331.0,192.0
24.00,382.0,186.0
37.42,382.0,186.0
11.47,382.0,186.0
22.44,281.0,186.0
21.16,339.0,185.0
31.84,339.0,185.0
14.80,295.0,185.0
25.18,295.0,185.0
17.54,238.0,185.0
14.20,296.0,192.0
21.65,296.0,192.0
29.39,296.0,192.0
13.52,331.0,192.0
16.26,331.0,192.0
31.45,331.0,192.0
37.23,331.0,192.0
18.13,349.0,192.0
32.72,349.0,192.0
39.49,349.0,192.0
41.05,349.0,192.0
42.13,349.0,192.0
18.13,302.0,203.0
26.74,302.0,203.0
61.92,525.0,189.0
47.22,500.0,200.0
51.04,500.0,200.0
55.16,500.0,200.0
41.64,540.0,173.0
13.71,252.0,185.0
19.69,252.0,185.0
31.65,339.0,185.0
19.11,393.0,192.0
39.58,393.0,192.0
48.79,393.0,192.0
24.00,382.0,185.0
37.42,382.0,185.0
11.47,252.0,186.0
19.69,252.0,185.0
14.99,310.0,192.0
27.92,310.0,192.0
34.68,310.0,192.0
37.33,310.0,192.0
38.11,310.0,192.0
33.80,525.0,189.0
42.42,525.0,189.0
48.40,525.0,189.0
55.94,525.0,189.0
58.78,525.0,189.0
67.11,525.0,189.0
20.77,322.0,203.0
25.18,322.0,203.0
29.59,322.0,203.0
21.75,302.0,203.0
39.09,397.0,185.0
24.39,480.0,192.0
50.51,522.0,146.0
74.99,522.0,146.0
37.17,273.0,210.0
33.76,162.0,179.0
16.50,154.0,220.0
19.99,147.0,202.0
36.35,152.0,168.0
33.69,310.0,168.0
15.42,144.0,158.0
33.42,304.0,214.0
39.05,374.0,190.0
27.68,159.0,175.0
26.86,153.0,200.0
45.30,310.0,168.0
30.12,305.0,196.0
15.57,151.0,167.0
44.61,142.0,174.0
53.52,298.0,201.0
57.21,321.0,190.0
65.91,366.0,191.0
52.82,280.0,172.0
33.40,252.0,194.0
18.03,165.0,182.0
37.36,156.0,180.0
32.84,160.0,203.0
42.64,298.0,186.0
40.06,318.0,210.0
41.94,287.0,188.0
61.23,326.0,174.0
40.87,356.0,193.0
33.30,132.0,179.0
52.42,322.0,186.0
15.09,164.0,181.0
38.46,314.0,170.0
37.26,321.0,182.0
35.23,140.0,237.0
42.13,288.0,177.0
31.87,298.0,210.0
41.54,265.0,195.0
39.45,160.0,168.0
37.91,166.0,183.0
44.28,276.0,180.0
31.18,322.0,196.0
23.69,149.0,193.0
32.76,159.0,176.0
32.40,261.0,201.0
28.63,237.0,247.0
36.80,313.0,178.0
18.28,155.0,193.0
33.06,146.0,202.0
31.42,296.0,221.0
31.03,133.0,196.0
44.39,313.0,178.0
12.18,152.0,184.0
25.56,153.0,178.0
36.44,140.0,200.0
32.96,149.0,176.0
23.84,300.0,212.0
26.23,153.0,178.0
17.95,148.0,158.0
40.68,326.0,199.0
19.01,153.0,178.0
33.72,262.0,195.0
8.54,158.0,220.0
13.46,151.0,167.0
32.24,273.0,199.0
23.52,149.0,183.0
29.72,143.0,191.0
49.77,260.0,171.0
52.44,313.0,178.0
40.93,284.0,168.0
44.86,336.0,182.0
13.20,145.0,181.0
37.43,150.0,174.0
29.87,144.0,192.0
56.61,331.0,195.0
12.46,155.0,193.0
23.79,155.0,193.0
13.29,135.0,180.0
39.42,266.0,178.0
46.23,314.0,179.0
44.52,313.0,127.0
23.74,146.0,182.0
26.14,144.0,178.0
15.52,148.0,181.0
43.57,277.0,191.0
35.86,298.0,164.0
41.05,313.0,178.0
28.99,155.0,194.0
46.24,289.0,195.0
26.92,148.0,171.0
10.54,145.0,202.0
25.10,313.0,178.0
29.07,136.0,172.0
9.74,155.0,193.0
33.80,255.0,189.0
39.84,162.0,216.0
26.97,136.0,199.0
27.23,164.0,197.0
30.65,162.0,202.0
33.05,157.0,200.0
24.58,149.0,192.0
21.91,135.0,196.0
30.88,159.0,201.0
15.34,144.0,176.0
24.34,154.0,228.0
23.89,167.0,185.0
22.93,184.0,213.0
29.41,156.0,221.0
28.63,236.9,246.9
36.80,313.3,178.5
18.29,154.8,193.3
32.72,145.9,202.5
31.42,296.0,221.4
28.94,133.1,195.7
40.93,313.3,178.5
12.18,151.6,184.4
25.56,153.1,178.5
36.44,139.9,200.3
32.96,149.5,175.8
23.84,299.8,211.5
26.23,153.1,178.5
17.96,148.1,158.1
38.63,326.5,199.0
19.01,152.7,178.1
33.72,261.9,195.4
8.54,158.4,219.7
13.46,150.7,166.7
32.25,272.6,198.7
23.52,149.0,182.9
29.73,143.0,190.7
49.77,259.9,170.6
52.45,312.9,177.6
40.93,284.0,168.3
44.87,336.5,181.9
13.20,144.8,180.8
37.43,150.0,173.8
29.87,143.7,191.6
56.62,330.5,194.9
12.46,154.8,193.3
23.79,154.8,193.3
13.29,134.7,180.2
39.42,266.2,177.9
46.23,314.0,178.9
44.52,312.7,127.3
23.74,145.7,181.9
26.15,143.8,178.1
15.53,148.1,181.4
43.58,277.0,190.6
35.87,298.1,163.6
41.05,313.3,178.5
28.99,155.2,193.8
46.25,289.0,194.9
26.92,147.8,171.2
10.54,145.4,201.7
25.10,312.7,178.1
29.07,136.4,171.6
9.74,154.8,193.3
33.80,255.3,188.6
37.17,272.8,209.7
33.76,162.0,178.8
16.50,153.6,220.1
19.99,146.5,201.9
36.35,151.8,167.5
38.22,309.9,167.8
15.42,143.6,158.4
33.42,303.6,213.5
39.06,374.3,190.2
27.68,158.6,175.1
26.86,152.6,200.0
45.30,310.0,167.9
30.12,304.8,196.0
15.57,150.9,166.6
44.61,141.9,173.5
53.52,297.8,201.3
57.22,321.3,190.5
65.91,366.0,191.3
52.83,279.8,172.4
33.40,252.1,193.8
18.03,164.6,181.6
37.36,155.6,180.3
35.31,160.2,203.2
42.64,298.1,186.4
40.06,317.9,209.7
43.80,287.3,187.6
61.24,325.6,174.0
40.87,355.9,193.3
33.31,132.0,178.9
52.43,322.5,185.8
15.09,164.2,181.2
38.46,313.8,169.9
37.27,321.4,182.5
35.23,139.7,236.7
42.14,288.4,177.4
31.88,298.2,209.7
41.54,264.5,195.5
39.46,159.8,168.4
37.92,166.0,183.2
44.28,276.4,179.6
31.18,322.2,196.0
23.70,148.5,192.7
32.77,159.1,175.6
32.40,260.9,200.6
